School Name,Corporation Name,Corporation ID,School ID,School Type,Network,Opening Year,Address,City,State,Zip,County,Lat,_Lat,Lon,_Lon,GEO Corp,Principal,Principal Email,Phone,School Website,Comp1,Comp2,Comp3,Comp4,Comp5
Excel Center - South Bend,Excel Center - South Bend,9900,7566,AHS,Goodwill LEADS - Network,2015-16,2721 Kenwood Avenue,South Bend,IN,46628,St Joseph,41.6806174,41.68104,-86.2883511,-86.288069,7205,Melissa LaPlace,mlaplace@excelcenterhs.org,(574) 314-5570,http://excelatgoodwill.org,7421,7505,7513,7517,7534
Gary Middle College,Gary Middle College,9885,4027,AHS,None,2010-11,131 E 5TH Ave,Gary,IN,46402,Lake,41.60198843,39.789265,-87.33495182,-86.157628,4690,Joseph Arredondo,jarredondo@geoacademies.org,(219) 888-7120,http://www.garymiddlecollege.org/,2018,1024,4022,4130,4164
GEO Next Generation High School,GEO Next Generation Academy,8970,9966,HS,None,2020-21,4002 N Franklin Road,Indianapolis,IN,46226,Marion,39.82858596,39.830414,-86.02708039,-86.028552,5385,Tiffany Evans,tevans@geoacademies.org,(000) 000-0000, ,5492,5462,9138,7782,9994
George and Veronica Phalen Leadership Academy,Phalen Leadership Academy - IN Inc,9925,5496,K8,Phalen Leadership Academies - Network,2013-14,2323 N. Illinois St.,Indianapolis,IN,46208,Marion,39.7994508,39.79971,-86.15895306,-86.158511,5385,Javaris Carrion,jcarrion@phalenacademies.org,(317) 333-6980,http://www.phalenacademies.org,1806,1112,5668,5556,5548
Higher Institute of Arts and Technology,Higher Institute of Arts & Tech,9990,1116,K8,None,2016-17,5861 Harrison Street,Merrillville,IN,46410,Lake,41.51182558,41.511898,-87.34567062,-87.34511,4600,Jessica Acklin,jacklin@phalenacademies.org,(219) 359-1522,http://thehiat.wixsite.com/hiat,3821,3822,3826,3813,3811
Indy STEAM Academy,Indy Steam Academy,9534,9704,K8,None,2021-22,4020 N Sherman Drive,Indianapolis,IN,46226,Marion,39.83112845,39.831147,-86.10369353,-86.10376,5385,Yvonne Bullock,ymbullock@indysteamacademy.org,, ,5583,5716,5621,5591,5538
James and Rosemary Phalen Leadership Academy High School,James and Rosemary Phalen Leadership Academy High School,8940,9961,HS,Phalen Leadership Academies - Network,2020-21,4352 Mitthoeffer Rd,Indianapolis,IN,46235,Marion,39.83686969,39.83625,-85.9911328,-85.992503,5385,Nicole Fama,nfama@phalenacademies.org,(000) 000-0000, ,5462,5492,9966,9138,1537
James and Rosemary Phalen Leadership Academy Middle School,James and Rosemary Phalen Leadership Academy Middle School,9045,4894,K8,Phalen Leadership Academies - Network,2017-18,4352 Mitthoeffer Road,Indianapolis,IN,46235,Marion,39.83686969,39.83625,-85.9911328,-85.992503,5385,Nicole Fama,nfama@phalenacademies.org,(617) 781-8195,,5466,5488,6208,7094,9991
Phalen Leadership Academy at Francis Scott Key School 103,Phalen Leadership Academy at Francis Scott Key School 103,8950,5603,K8,Phalen Leadership Academies - Network,2020-21,3920 Baker Dr,Indianapolis,IN,46236,Marion,39.83043155,39.828498,-86.00085214,-86.001704,5385,Matt Rimer,mrimer@phalenacademies.org,(317) 226-4103,http://www.103.ips.k12.in.us/,5593,5629,5488,5619,5605
Phalen Leadership Academy at George H Fisher School 93,PLA at George H Fisher School 93,8685,5593,K8,Phalen Leadership Academies - Network,2019-20,7151 E 35th St,Indianapolis,IN,46226,Marion,39.82022,39.819633,-86.036277,-86.042171,5385,Jeffrey Hendricks,JHendricks@phalenacademies.org,(317) 226-4293,http://www.93.ips.k12.in.us/,5623,5619,5605,5629,5603
Phalen Leadership Academy at Louis B Russell Jr. School 48,Phalen Leadership Academy at Louis B Russell School 48,9954,5548,K8,Phalen Leadership Academies - Network,2020-21,3445 N Central,Indianapolis,IN,46205,Marion,39.81862349,39.819187,-86.14959418,-86.149157,5385,Lawrence Courtney,lcourtney@phalenacademies.org,(317) 226-4248,http://www.48.ips.k12.in.us/,5543,5538,5591,5621,1806
Purdue Polytechnic High School South Bend,Purdue Polytechnic High School South Bend,8960,9963,HS,None,2020-21,635 S Lafayette Blvd,South Bend,IN,46601,St Joseph,41.6680043,41.668294,-86.2540199,-86.253794,7205,Justin Zobrosky,jzobrosky@pphs.purdue.edu,(000) 000-0000, ,7421,7505,7513,7517,7534
Steel City Academy,Steel City Academy,9980,1113,K12,None,2016-17,2650 W 35th Avenue,Gary,IN,46408,Lake,41.5552225,41.55698,-87.373269,-87.369451,4690,Jazmin Pratt,jazmin.pratt@steelcityacademy.org,(219) 750-1010,http://www.steelcityacademy.org/,4022,4130,4164,4486,4068
Vanguard Collegiate of Indianapolis,Vanguard Collegiate of Indy,9080,1004,K8,None,2018-19,2447 West 14th Street,Indianapolis,IN,46222,Marion,39.7859356,39.785728,-86.20253701,-86.202564,5385,Robert Marshall,rmarshall@vcindy.org,(317) 513-2128,,5871,9971,5590,1002,1112
