Corp,Name,2016 September ADM,2016 February ADM,2017 September ADM,2017 February ADM,2018 September ADM,2018 February ADM,2019 September ADM,2019 February ADM,2020 Sept 2019 NonVirtual ADM,2020 Sept 2019 Virtual ADM,2020 September ADM,2020 Feb 2020 NonVirtual ADM,2020 Feb 2020 Virtual ADM,2020 February ADM,2021 Sept 2020 NonVirtual ADM ,2021 Sept 2020 Virtual ADM,2021 September ADM,2021 Feb 2021 NonVirtual ADM,2021 Feb 2021 Virtual ADM,2021 February ADM,2022 Sept 2021 NonVirtual ADM,2022 Sept 2021 Virtual ADM,2022 September ADM,2022 Feb 2022 NonVirtual ADM,2022 Feb 2022 Virtual ADM,2022 February ADM
6630,West Central School Corp,815.48,822.48,825,804,775,769,755,754.16,735,0,735,710,0,710,671,0,671,656,0,656,636.45,0,636.45,630.15,0,630.15
6705,South Putnam Community Schools,1136,1143,1138.43,1143.3,1123,1110,1065,1063,1074,0,1074,1068,0,1068,1044,0,1044,1045,0,1045,1049,0,1049,1039,0,1039
6715,North Putnam Community Schools,1436,1425,1427,1440,1375,1372,1346,1345,1321,0,1321,1320,0,1320,1255,0,1255,1249,0,1249,1286,10,1296,1263,35,1298
6750,Cloverdale Community Schools,1168,1153,1176,1157,1105,1092,1079,1074,1052,0,1052,1032,0,1032,989,1,990,1173,3,1176,986,373,1359,963,428,1391
6755,Greencastle Community Sch Corp,1932,1917,1864.26,1841.26,1861.13,1815.13,1842.13,1822.13,1790,0,1790,1757,0,1757,1717,0,1717,1704,0,1704,1773,0,1773,1744,0,1744
6795,Union School Corporation,237,254,254,285,804,1021,3273,3159,245,4151.32,4396.32,260.15,4336,4596.15,3275.07,3193,6468.07,273,6061,6334,243.5,5842,6085.5,234.5,7008,7242.5
6805,Randolph Southern School Corp,507,510,523,512,542,545,506,497,488,0,488,479,0,479,467,1,468,470,1,471,477,2,479,467,4,471
6820,Monroe Central School Corp,1026,1013,1042,1035,1059,1065,1070,1070,1060,0,1060,1049,0,1049,1063,0,1063,1068,3,1071,1053,0,1053,1056,0,1056
6825,Randolph Central School Corp,1517,1501,1499,1488,1474,1460,1427,1396,1367,0,1367,1342,0,1342,1312,0,1312,1315,0,1315,1303,9,1312,1271,13,1284
6835,Randolph Eastern School Corp,876.5,852.5,850,860,870,854,855,847,870,0,870,865,0,865,875,2,877,874,2,876,846,1,847,849,1,850
6865,South Ripley Com Sch Corp,1181.54,1170.54,1133,1149,1182,1169,1116,1116,1144,0,1144,1133,0,1133,1093,0,1093,1080,0,1080,1080,8,1088,1070,8,1078
6895,Batesville Community Sch Corp,2174.13,2137.13,2137,2112,2199,2156,2145.15,2131,2180,0,2180,2155,0,2155,2140,0,2140,2113,0,2113,2156.13,0,2156.13,2142.39,0,2142.39
6900,Jac-Cen-Del Community Sch Corp,858,857,857,849,841,849,818,820,809,7,816,800,6,806,775,5,780,776,1,777,746,8,754,771,6,777
6910,Milan Community Schools,1126,1123.5,1150,1150,1158,1145,1080,1055,1029,0,1029,1012,0,1012,982,0,982,963,1,964,983.13,0,983.13,961.13,0,961.13
6995,Rush County Schools,2202.26,2175,2089,2083,2069,2018,2029,1980,1961,0,1961,1954,0,1954,1923,0,1923,1870,0,1870,1889,0,1889,1853,0,1853
7150,John Glenn School Corporation,1887,1885,1901,1892,1928,1946,1960,1957,2008,0,2008,1999,0,1999,1985,0,1985,1985,0,1985,1987,1,1988,1941,15,1956
7175,Penn-Harris-Madison Sch Corp,10667.77,10685.19,10716.06,10707.59,11148.37,11154.84,11184.73,11110.91,11271.11,0,11271.11,11252.61,0,11252.61,11171.72,10,11181.72,11174.6,5,11179.6,10889.77,21,10910.77,10703.55,165,10868.55
7200,School City of Mishawaka,4985,4968,5124,5096,5183,5106,5203.31,5091.38,5165.76,0,5165.76,5132.1,0,5132.1,5044.62,11,5055.62,5095.91,13,5108.91,5146.97,22,5168.97,5090.06,30,5120.06
7205,South Bend Community Sch Corp,17649.02,17450.56,17222.57,17095.57,16801.73,16756.12,16590.4,16458.4,15902.38,0,15902.38,15849.38,0,15849.38,15430.91,30,15460.91,15235.91,94,15329.91,14721,387,15108,14303,588,14891
7215,Union-North United School Corp,1102,1103,1116,1145,1181,1180,1203.01,1237.5,1283.4,0,1283.4,1295.4,0,1295.4,1246.39,0,1246.39,1257.52,0,1257.52,1286.54,0,1286.54,1245.54,0,1245.54
7230,Scott County School District 1,1213,1181,1175,1150,1195,1197,1219,1166,1214,0,1214,1208,0,1208,1197,0,1197,1205,0,1205,1093,117,1210,1019,155,1174
7255,Scott County School District 2,2607,2637,2677,2677,2652,2639,2579,2577,2592,0,2592,2579,0,2579,2573,2,2575,2550,2,2552,2501,0,2501,2476,0,2476
7285,Shelby Eastern Schools,1225,1207,1173,1177,1131.5,1131,1115,1103,1104,0,1104,1107,0,1107,1132,0,1132,1107,0,1107,1163,0,1163,1164,0,1164
7350,Northwestern Con School Corp,1413,1409,1424,1440,1460,1444,1474,1446,1492,0,1492,1475,0,1475,1428,0,1428,1404,0,1404,1397,0,1397,1364,0,1364
7360,Southwestern Con Sch Shelby Co,612,612,583,581,584,582,607,589,551,2,553,547,1,548,545,1,546,544,1,545,572,1,573,563,2,565
7365,Shelbyville Central Schools,3856.16,3856.5,3917.5,3897,3828,3853,3878,3848.5,3888,0,3888,3864,0,3864,3752,1,3753,3738,1,3739,3671,85,3756,3603,116,3719
7385,North Spencer County Sch Corp,1897.66,1895.65,1923,1905,1914.51,1914.51,1943.5,1931,1946,0,1946,1929,0,1929,1958.97,0,1958.97,1949.97,0,1949.97,1980,4,1984,1958,5,1963
7445,South Spencer County Sch Corp,1228.52,1212.57,1202.38,1192.45,1213.95,1211.8,1168.92,1166.8,1156.48,0,1156.48,1140.36,0,1140.36,1123.12,0,1123.12,1106.12,0,1106.12,1080,3,1083,1039,23,1062
7495,Oregon-Davis School Corp,609,596,595,575,555,545,513,499,500,0,500,510,0,510,500,0,500,491,0,491,488,0,488,467,0,467
7515,North Judson-San Pierre Sch Corp,1056,1036,1023,1050.5,1028.26,1020.26,1015.99,996.09,990.93,0,990.93,959.65,6,965.65,946.68,2,948.68,946.27,5,951.27,945.42,0,945.42,930.7,9,939.7
7525,Knox Community School Corp,1888,1886,1904,1854,1843.37,1837.6,1793.37,1767.44,1766.37,0,1766.37,1753.37,0,1753.37,1714.14,0,1714.14,1690.6,2,1692.6,1684.14,0,1684.14,1670.14,1,1671.14
7605,Fremont Community Schools,924.44,929.22,924.1,923.12,955.53,963.22,974,980,979.48,0,979.48,966.96,0,966.96,965.24,0,965.24,961.24,0,961.24,988.48,0,988.48,990.48,1,991.48
7610,Hamilton Community Schools,379,371,329,326,282,282,287,296,290,0,290,298,0,298,320,0,320,313,0,313,350,0,350,351,0,351
7615,M S D Steuben County,2780.02,2774,2775,2769,2737,2723,2736,2677,2654,0,2654,2637,0,2637,2538,0,2538,2504,0,2504,2514,7,2521,2475,13,2488
7645,Northeast School Corp,923,913,864,858,853,830,832,797,806,0,806,800,0,800,767,0,767,754,0,754,736,23,759,717,24,741
7715,Southwest School Corp,1752,1724,1718,1683,1698,1664,1719,1685,1734,0,1734,1719,0,1719,1725,2,1727,1717,1,1718,1643,4,1647,1562,37,1599
7775,Switzerland County School Corp,1519,1488,1486,1476.5,1459,1438,1472,1432,1449,0,1449,1434,0,1434,1433,0,1433,1446,1,1447,1486,3,1489,1435,30,1465
7855,Lafayette School Corporation,7320,7238,7229.75,7268.53,7445.17,7322.21,7513.93,7421.47,7536.54,0,7536.54,7444.05,0,7444.05,7279.25,8,7287.25,7171.25,6,7177.25,7190.76,19,7209.76,7045.38,29,7074.38
7865,Tippecanoe School Corp,12994.84,12879.7,13323.35,13165.94,13524.36,13453.15,13661.24,13511.26,13809.95,0,13809.95,13670.73,0,13670.73,13816.33,5,13821.33,13702.73,9,13711.73,13929,2,13931,13747.07,2,13749.07
7875,West Lafayette Com School Corp,2175.5,2187,2262,2261.5,2317.5,2296.5,2341,2322,2342.5,0,2342.5,2302,0,2302,2255,3,2258,2252,1,2253,2248,3,2251,2237,4,2241
7935,Tri-Central Community Schools,809.73,808.73,775,767,751.13,753.13,752,740,767,0,767,757,0,757,749,0,749,733,0,733,746,0,746,727,0,727
7945,Tipton Community School Corp,1716.5,1693.5,1642,1625,1552,1542,1532,1529,1487,0,1487,1455,0,1455,1427,1,1428,1423,1,1424,1415.5,11,1426.5,1425.5,9,1434.5
7950,Union Co-Clg Corner Joint Sch Dist,1422,1439,1411,1397,1355,1333,1295,1286,1278,0,1278,1293,0,1293,1297,2,1299,1272,1,1273,1263,0,1263,1247,1,1248
7995,Evansville Vanderburgh Sch Corp,22235.66,22057.49,22214.68,21930.18,22190.25,21912.26,22017.07,21868.16,21923.63,107,22030.63,21844.11,82,21926.11,21521.14,39,21560.14,21276.42,32,21308.42,20882.34,554,21436.34,20588.85,601,21189.85
8010,North Vermillion Com Sch Corp,746,752,754,742,763,749,750,753,753,0,753,752,0,752,716,0,716,700,0,700,685,1,686,681,7,688
8020,South Vermillion Com Sch Corp,1704,1689,1711,1682,1707,1663,1643,1640,1663,0,1663,1661,0,1661,1637,4,1641,1597,0,1597,1604,8,1612,1566,3,1569
8030,Vigo County School Corp,14907,14693.48,14710,14397,14474,14224,14363,14056.5,14076,109,14185,13825,137,13962,13532.12,69,13601.12,13276.18,93,13369.18,13256.44,342,13598.44,12895.5,349,13244.5
8045,Manchester Community Schools,1570,1558,1579,1594.5,1585,1573,1571.13,1559.13,1525.26,0,1525.26,1489.93,0,1489.93,1353.48,1,1354.48,1360.48,0,1360.48,1418.96,0,1418.96,1407.96,0,1407.96
8050,M S D Wabash County Schools,2137,2177,2038,2078,2112.5,2143,2012,2071,2060,0,2060,2129.12,0,2129.12,2023.41,0,2023.41,2073.94,0,2073.94,2024.97,0,2024.97,2096.22,2,2098.22
8060,Wabash City Schools,1398.5,1394,1497,1479,1520,1490,1544.12,1536.12,1516.13,0,1516.13,1477.13,0,1477.13,1468,1,1469,1456,2,1458,1455,13,1468,1417,20,1437
8115,M S D Warren County,1162,1154,1246,1238,1328,1316,1349,1318,1326,0,1326,1298,0,1298,1318,0,1318,1311,0,1311,1345,0,1345,1344,0,1344
8130,Warrick County School Corp,10130.98,10114,10228,10130,10197.51,10157.51,10144,10091,10087,0,10087,10037,0,10037,9906,4,9910,9915,5,9920,9910,80,9990,9862,79,9941
8205,Salem Community Schools,1967.94,1952.94,1909.94,1921.94,1892.47,1845.94,1819,1795,1788,1,1789,1776,0,1776,1746,3,1749,1738,4,1742,1695,32,1727,1667,31,1698
8215,East Washington School Corp,1463.49,1473.49,1440,1424,1426,1434,1414,1379.88,1412.44,5,1417.44,1371.44,5,1376.44,1391.92,8,1399.92,1383.92,3,1386.92,1357.92,12,1369.92,1319.92,18,1337.92
8220,West Washington School Corp,797,787,790,796,795,794,845,866,876,0,876,880,0,880,904,2,906,876,2,878,892,1,893,875,0,875
8305,Nettle Creek School Corp,1115.76,1098.88,1106.56,1088.14,1077.56,1089.64,1103.28,1105.28,1117.5,0,1117.5,1113.09,0,1113.09,1080.89,0,1080.89,1095.99,1,1096.99,1069.64,0,1069.64,1066.64,0,1066.64
8355,Western Wayne Schools,974,982,965,976,953,931,871,858,824,0,824,818,0,818,795,1,796,786,1,787,717,28,745,702,35,737
8360,Centerville-Abington Com Schs,1715,1693,1687,1681,1731,1722,1741,1731,1746,0,1746,1725,0,1725,1745,0,1745,1732,0,1732,1751,10,1761,1736,1,1737
8375,Northeastern Wayne Schools,1262,1273,1289,1295,1265,1256,1307,1291,1283,8,1291,1277,8,1285,1272,3,1275,1262,3,1265,1245,5,1250,1241,12,1253
8385,Richmond Community Schools,4869.27,4775.27,4731,4640,4691,4599,4601,4537,4594,0,4594,4483.15,0,4483.15,4394,2,4396,4402,1,4403,4429,1,4430,4355,2,4357
8425,Southern Wells Com Schools,842,834,842,829,878.11,866.89,864.81,852.27,872,0,872,862,0,862,823,0,823,833,0,833,848,0,848,849,0,849
8435,Northern Wells Com Schools,2398.3,2376.85,2418.66,2409.77,2463.42,2428.39,2485.61,2460.02,2490.38,0,2490.38,2453.92,0,2453.92,2425.82,1,2426.82,2424.26,2,2426.26,2435.62,1,2436.62,2395.12,1,2396.12
8445,M S D Bluffton-Harrison,1569.46,1558.46,1571.69,1545.46,1597.87,1599.87,1615.46,1626.69,1643.66,0,1643.66,1652.35,0,1652.35,1634.69,0,1634.69,1655.23,0,1655.23,1717.59,2,1719.59,1711.76,1,1712.76
8515,North White School Corp,854,838,862,857,882,864,857,863,901,0,901,873,0,873,859,0,859,861,0,861,903,1,904,887,1,888
8525,Frontier School Corporation,712,715,671,668,674,672,666.18,657,653.26,0,653.26,655.26,0,655.26,632.12,1,633.12,620.24,1,621.24,657,3,660,652,3,655
8535,Tri-County School Corp,742.85,745.42,725.43,712.43,720,720,647,651,684,0,684,704,0,704,709,0,709,718,0,718,737,0,737,745,0,745
8565,Twin Lakes School Corp,2397,2377,2341,2351,2391,2380,2364,2367,2320,0,2320,2290,0,2290,2189,1,2190,2168,0,2168,2224,0,2224,2124,56,2180
8625,Smith-Green Community Schools,1195.5,1182.38,1196,1186,1182,1183,1149,1149,1163,0,1163,1164,0,1164,1178.13,0,1178.13,1157.13,1,1158.13,1176,2,1178,1148.14,26,1174.14
8635,Purdue Polytech,,,0,0,0,0,0,0,65,0,65,63,0,63,131,2,133,131,2,133,190,3,193,194,5,199
8665,Whitley Co Cons Schools,3448,3445,3462,3467,3537,3536,3519,3466,3570,0,3570,3520,0,3520,3472,0,3472,3464,0,3464,3569,25,3594,3509,19,3528
8675,Invent Learning Hub,0,0,0,0,0,0,0,0,117,0,117,98,0,98,159,0,159,135,0,135,175,0,175,157,0,157
8685,PLA at George H Fisher School 93,0,0,0,0,0,0,0,0,464,0,464,450,0,450,450,0,450,433,0,433,371,0,371,369,0,369
8690,Dynamic Minds Academy,0,0,0,0,0,0,0,0,112,0,112,122,0,122,105,0,105,105,0,105,105,0,105,106,0,106
8810,CSUSA Howe,545,524,534,505,490,460,566,536,597,0,597,510,0,510,0,0,0,0,0,0,0,0,0,0,0,0
8815,CSUSA Manual,707,673,698,645,725,639,696,588,632,0,632,594,0,594,0,0,0,0,0,0,0,0,0,0,0,0
8820,Edison,651,650,601,619,594,620,472,505,418,0,418,365,0,365,0,0,0,0,0,0,0,0,0,0,0,0
8825,CSUSE Donnan,350,370,384,382,348,363,300,277,178,0,178,170,0,170,0,0,0,0,0,0,0,0,0,0,0,0
8940,James & Rosemary Phalen Leadership Academy High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329,4,333,321,4,325,369,24,393,406,0,406
8950,Phalen Leadership Academy at Franc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,0,448,490,0,490,471,0,471,481,0,481
8960,Purdue Polytechnic South Bend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28,37,1,38,96,1,97,93,2,95
8970,GEO Next Generation Academy -  Indianapolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,3,102,89,2,91,177,0,177,159,0,159
8980,The PATH School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0,499,516,0,516,510,0,510,523,2,525
8990,HIM by HER Collegiate School for the Arts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,58,58,0,58,162,0,162,178,0,178
9000,Phalen Virtual Leadership Academy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,38,0,56,56,0,492,492,0,513,513
9010,Ignite,0,0,0,0,498,559,544,519,405,0,405,408,0,408,398,0,398,432,0,432,353,1,354,360,1,361
9015,Purdue Polytech,0,0,0,0,154,140,259,246,366,0,366,367,0,367,529,7,536,514,8,522,566,2,568,513,5,518
9030,Otwell Miller Academy Charter School,0,0,0,0,58,61,88,90,91,0,91,98,0,98,109,0,109,110,0,110,94,0,94,95,0,95
9035,IN Connections Career Academy HS Virtual Charter School,0,0,0,0,68,156,309,335,0,364,364,0,343,343,0,532,532,0,547,547,0,645,645,0,615,615
9040,Avondale Meadows MS,0,0,0,0,92,93,184,187,167,0,167,164,0,164,167,0,167,163,1,164,162,0,162,149,0,149
9045,Phalen Academy MS Charter School,0,0,0,0,120,125,260,258,468,0,468,429,1,430,277,1,278,267,1,268,236,0,236,235,0,235
9060,Paramount School of Excellence II,0,0,0,0,0,0,102,89,131,0,131,126,0,126,232,0,232,232,0,232,223,0,223,212,0,212
9065,Allegiant Preparatory Academy Charter School,0,0,0,0,0,0,39,36,66,0,66,71,0,71,110,0,110,105,0,105,114,0,114,113,0,113
9070,Gary Middle College West,0,0,0,0,0,0,74,84,97,0,97,86,0,86,64,0,64,67,0,67,0,0,0,0,0,0
9080,Vanguard Collegiate of Indianapolis,0,0,0,0,0,0,61,43,76,0,76,79,0,79,87,0,87,92,0,92,89,0,89,97,0,97
9085,pilotED Schools,0,0,0,0,0,0,79,87,160,0,160,152,0,152,183,0,183,180,0,180,216,0,216,212,0,212
9090,Matchbook Learning INCS,0,0,0,0,0,0,560,574.5,609,0,609,612,0,612,643,0,643,639,0,639,650,2,652,655,3,658
9095,Urban Act Academy INCS,0,0,0,0,0,0,343,306,318,0,318,350,0,350,314,0,314,300,0,300,298,0,298,305,3,308
9115,Kindezi Academy,,,164,182,219,246,276,294,360,0,360,392,0,392,427,0,427,453,1,454,409,1,410,421,0,421
9120,Insight School of Indiana,,,651,761,784,751,811,676,0,837,837,0,890,890,0,640,640,0,538,538,0,460,460,0,722,722
9130,Adelante Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,346,354,3,357,371,0,371,359,0,359
9135,KIPP Indy Legacy High,0,0,0,0,0,0,0,0,121,0,121,122,0,122,255,1,256,255,0,255,314,0,314,299,0,299
9140,BELIEVE Circle City High School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,53,53,0,53,126,0,126,119,0,119
9145,Riverside HS,0,0,0,0,139,132,289,268,350,0,350,349,0,349,433,3,436,411,3,414,412,2,414,401,3,404
9150,Circle City Preparatory Academy,0,0,0,0,78,74,131,120,177,0,177,174,0,174,224,0,224,217,0,217,269,0,269,258,0,258
9155,Indiana Virtual Pathways Academy,0,0,0,0,2972,2785,6232,6783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9165,Paramount Englewood,0,0,0,0,0,0,0,0,118,0,118,100,0,100,181,0,181,201,0,201,208,1,209,181,0,181
9170,Rooted School Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,58,57,0,57,86,0,86,89,0,89
9195,Timothy L Johnson Leadership Academy MS,0,0,0,0,0,0,53,50,97,0,97,95,0,95,118,0,118,123,0,123,146,0,146,150,0,150
9310,Charter School of the Dunes,502,463,465,472,561,517,607,584,658,0,658,637,0,637,679,1,680,659,1,660,637,63,700,604,59,663
9315,Signature School Inc,347,343,363,351,366,364,392,382,398,0,398,391,0,391,390,0,390,373,0,373,382,1,383,374,0,374
9320,Community Montessori Inc,545,541.5,541,543,542,528,542,537,540,0,540,533,0,533,532,0,532,513,0,513,518,10,528,414,101,515
9325,Options Charter School - Carmel,188,184,175,197,179,207,203,194,115,102,217,125,164,289,427,196,623,345,383,728,389,361,750,453,473,926
9330,Irvington Community School,1045,1020,1029,1011,1011,979,986,975,1034,0,1034,1019,0,1019,1024.5,7,1031.5,1002,7,1009,966,1,967,945,0,945
9340,New Community School,212,202,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9350,Timothy L Johnson Academy,293,284,313,302,314,309,313,298,371,0,371,365,0,365,376,0,376,378,0,378,385,0,385,372,0,372
9360,Veritas Academy,129,134,90,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9365,Enlace Academy,276,285,366,364,423,425,496,462,573,0,573,571,0,571,606,0,606,621,0,621,660,0,660,638,4,642
9375,Indiana Math and Science Acad South,284,253,198,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9380,Christel House Academy South,641,630,719,697,660,640,664,656,676,0,676,663,0,663,673,0,673,668,0,668,738,0,738,735,0,735
9395,Christel House Academy West,198,190,266,260,323,314,377,370,436,0,436,436,0,436,491,1,492,493,0,493,471,0,471,471,0,471
9400,KIPP Indpls College Preparatory,381,356,306,304,303,287,295,268,298,0,298,292,0,292,371,0,371,362,0,362,378,0,378,364,0,364
9405,Early Career Academy,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9410,KIPP Indy Unite Elementary,193,189,302,297,402,375,508,450,624,0,624,608,0,608,636,0,636,637,0,637,636,0,636,617,0,617
9425,Tindley Genesis Academy,154,144,217,204,253,231,216,198,478,0,478,427,0,427,445,0,445,444,0,444,425,0,425,432,0,432
9430,Tindley Summit Academy,297,285,315,270,279,261,259,279,295,0,295,278,0,278,258,0,258,268,0,268,258,0,258,252,0,252
9445,Charles A Tindley Accelerated Schl,260,249,274,272,299,284,235,222,348,0,348,336,0,336,371,0,371,384,0,384,393,0,393,381,0,381
9460,Thea Bowman Leadership Academy,1266,1262,1181,1139,1099,1079,1074,1072,1075,0,1075,1029,0,1029,855,0,855,841,0,841,824,0,824,780,0,780
9465,Rural Community Schools Inc,153,147,166,173,176,177,130,119,95,0,95,93,0,93,97,0,97,98,0,98,118,0,118,127,0,127
9485,SE Neighborhood Sch of Excellence,490,497,550,541,596,556,595,588,607,0,607,604,0,604,640,1,641,632,1,633,626,0,626,614,0,614
9490,Indiana College Preparatory School,304,296,262,198,246,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9495,Joshua Academy,226,225,167,166,187,184,200.5,194,247,0,247,227,0,227,243,0,243,228,0,228,250,2,252,250,0,250
9505,IN Agriculture and Technology School Ch School,0,0,0,0,0,0,129,107,192,0,192,213,0,213,251,1,252,235,1,236,0,251,251,0,279,279
9531,Paramount Online Academy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,270,0,360,360
9533,Promise Prep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,53,53,0,53
9534,Indy STEAM Academy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,77,74,0,74
9535,Gary Lighthouse Charter School,1498,1504,1507,1497,1539,1490,1422,1331,1354,0,1354,1338,0,1338,1320,2,1322,1310,2,1312,1195,6,1201,1218,6,1224
9536,Lawrence County Independent Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,0,299,300,0,300
9537,The Nature School of Central Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,1,119,121,0,121
9538,Herron Preparatory Academy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,117,0,117
9545,21st Century Charter Sch of Gary,739,750,896,895,940,897,893,851,1220,0,1220,1153,0,1153,1266,2,1268,1248,2,1250,1340,2,1342,1251,1,1252
9555,East Chicago Urban Enterprise Acad,423,421,433,416,420,405,415,399,409,0,409,404,0,404,411,0,411,419,0,419,420,0,420,411,0,411
9575,Indpls Lighthouse Charter School,921,917,908,899,921,852,889,852,937,0,937,906,0,906,965,0,965,954,0,954,950,0,950,909,0,909
9595,East Chicago Lighthouse Charter,432,433,450,441,499,471,495,463,500,0,500,500,0,500,521,0,521,520,0,520,482,6,488,486,12,498
9615,Andrew J Brown Academy,650,649,655,640,650,637,676,656,707,0,707,675,0,675,676,0,676,625,0,625,632,0,632,606,0,606
9620,Burris Laboratory School,630,630,644,635,670,667,669,664,673,0,673,665,0,665,671,0,671,670,0,670,673,0,673,660,0,660
9625,IN Acad for Sci Math Humanities,315,310,334,317,321,309,307,298,240,0,240,224,0,224,192,1,193,184,2,186,204,0,204,193,0,193
9630,Carpe Diem Shadeland,68,88,72,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9640,Options Charter Sch - Noblesville,203,210,200,224,281,301,299,289,159,167,326,220,185,405,0,0,0,0,0,0,0,0,0,0,0,0
9645,Avondale Meadows Academy,469,463,457,444,457,443,442,449,428,0,428,399,0,399,396,0,396,379,0,379,334,0,334,310,0,310
9650,Herron Charter,764,768,831,835,862,863,898,874,953,0,953,942,0,942,938,11,949,912,9,921,977,0,977,962,1,963
9651,Hope Academy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,26,0,26,28,0,28,36,0,36
9655,Hope Academy,26,22,25,39,27,35,27,39,30,0,30,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0
9665,Geist Montessori Academy,352,360,379,369,373,362,379,367,366,0,366,350,0,350,269,0,269,263,0,263,213,8,221,209,8,217
9670,Indianapolis Metropolitan High School,260,262,269,271,284,265,234,246,269,0,269,268,0,268,281,6,287,267,9,276,254,0,254,275,0,275
9680,Paramount School of Excellence Inc,649.5,614,696,654,762,699,809,735,811,0,811,771,0,771,837,0,837,811.5,0,811.5,802,0,802,776,1,777
9685,Aspire Charter Academy,701,683,707,681,696,669,707,673,624,0,624,635,0,635,651,1,652,624,1,625,662,0,662,664,0,664
9690,Renaissance Academy Charter,250,245,246,244,258,250,229,227,244,0,244,241,0,241,247,0,247,245,0,245,264,2,266,255,2,257
9705,Hammond Academy of Science & Tech,553,539,553,538,538,533,553,544,569,0,569,554,0,554,575,1,576,557,1,558,539,0,539,524,0,524
